timestamp_iso,elapsed_s,node,source,far_threshold_cm,near_threshold_cm,sensor_filter,sensor_health,a_queue,b_queue,a_far_cm,a_far_occupied,a_near_cm,a_near_occupied,b_far_cm,b_far_occupied,b_near_cm,b_near_occupied,far_cm,far_occupied,near_cm,near_occupied,queue,local_queue,remote_queue,incoming_count,passed_count,remote_source,remote_stale,green_side,phase,emergency,priority_side,lights_a,lights_b,power_bus_v,power_current_ma,power_mw,tx_backend,payload,rssi_dbm,snr_db,truth_any_vehicle,truth_far,truth_near,truth_note,event_label,raw_line
2026-05-22T19:44:56,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| far=129.Log mode set to SUMMARY
2026-05-22T19:45:08,12.08,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,1,169.1,0,165.5,0,7.8,1,87.0,0,7.8,1,87.0,0,,1,0,,,LORA_RADIO,OFF,A,YELLOW,OFF,A,YELLOW,RED,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=1 | A_far=169.1cm/FREE | A_near=165.5cm/FREE | B_far=7.8cm/OCC | B_near=87.0cm/FREE | far=7.8cm/OCC | near=87.0cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=1 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=A | phase=YELLOW | emergency=OFF | priority=A | lights=A:YELLOW B:RED | power=INA219_NA"
2026-05-22T19:45:09,13.08,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,1,169.1,0,165.5,0,8.1,1,87.0,0,8.1,1,87.0,0,,1,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=1 | A_far=169.1cm/FREE | A_near=165.5cm/FREE | B_far=8.1cm/OCC | B_near=87.0cm/FREE | far=8.1cm/OCC | near=87.0cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=1 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:10,14.08,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,1,169.1,0,165.5,0,129.4,0,3.6,1,129.4,0,3.6,1,,1,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=1 | A_far=169.1cm/FREE | A_near=165.5cm/FREE | B_far=129.4cm/FREE | B_near=3.6cm/OCC | far=129.4cm/FREE | near=3.6cm/OCC | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=1 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:11,15.09,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,1,169.1,0,165.5,0,126.6,0,140.4,1,126.6,0,140.4,1,,1,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=1 | A_far=169.1cm/FREE | A_near=165.5cm/FREE | B_far=126.6cm/FREE | B_near=140.4cm/OCC | far=126.6cm/FREE | near=140.4cm/OCC | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=1 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:12,16.11,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,0,169.1,0,165.4,0,129.8,0,138.2,0,129.8,0,138.2,0,,0,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=0 | A_far=169.1cm/FREE | A_near=165.4cm/FREE | B_far=129.8cm/FREE | B_near=138.2cm/FREE | far=129.8cm/FREE | near=138.2cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=0 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:13,17.11,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,0,169.2,0,165.5,0,129.4,0,137.7,0,129.4,0,137.7,0,,0,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=0 | A_far=169.2cm/FREE | A_near=165.5cm/FREE | B_far=129.4cm/FREE | B_near=137.7cm/FREE | far=129.4cm/FREE | near=137.7cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=0 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:14,18.10,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,0,169.2,0,165.5,0,125.8,0,134.7,0,125.8,0,134.7,0,,0,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=0 | A_far=169.2cm/FREE | A_near=165.5cm/FREE | B_far=125.8cm/FREE | B_near=134.7cm/FREE | far=125.8cm/FREE | near=134.7cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=0 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:15,19.08,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,1,169.5,0,165.5,0,7.5,1,135.5,0,7.5,1,135.5,0,,1,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=1 | A_far=169.5cm/FREE | A_near=165.5cm/FREE | B_far=7.5cm/OCC | B_near=135.5cm/FREE | far=7.5cm/OCC | near=135.5cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=1 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:16,20.11,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,1,169.1,0,165.5,0,129.7,0,136.0,0,129.7,0,136.0,0,,1,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=1 | A_far=169.1cm/FREE | A_near=165.5cm/FREE | B_far=129.7cm/FREE | B_near=136.0cm/FREE | far=129.7cm/FREE | near=136.0cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=1 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
2026-05-22T19:45:17,21.10,B,LORA_RADIO,50.0,50.0,median3_debounce2,"F:OK,N:OK",0,1,169.1,0,165.5,0,125.8,0,135.6,0,125.8,0,135.6,0,,1,0,,,LORA_RADIO,OFF,B,GREEN,OFF,B,RED,GREEN,,,,,,,,,,,,,"B STATUS | A_queue=0 | B_queue=1 | A_far=169.1cm/FREE | A_near=165.5cm/FREE | B_far=125.8cm/FREE | B_near=135.6cm/FREE | far=125.8cm/FREE | near=135.6cm/FREE | thresholds=50.0/50.0 | filter=median3_debounce2 | health=F:OK,N:OK | localQ=1 | remoteQ=0 | source=LORA_RADIO | stale=OFF | green=B | phase=GREEN | emergency=OFF | priority=B | lights=A:RED B:GREEN | power=INA219_NA"
